Date,Open,High,Low,Close,Adj Close,Volume
2015-02-02,45.630001,46.230000,42.000000,43.990002,43.990002,2197500
2015-02-03,45.240002,45.250000,41.000000,44.980000,44.980000,1042100
2015-02-04,44.849998,44.849998,40.750000,41.320000,41.320000,1366800
2015-02-05,41.770000,42.880001,40.860001,42.639999,42.639999,722600
2015-02-06,43.590000,44.099998,41.650002,41.959999,41.959999,703000
2015-02-09,40.299999,41.500000,39.705002,41.500000,41.500000,1040600
2015-02-10,41.490002,41.900002,40.799999,41.500000,41.500000,347200
2015-02-11,41.500000,42.490002,41.000000,41.500000,41.500000,347100
2015-02-12,41.599998,41.599998,40.555000,40.650002,40.650002,347700
2015-02-13,40.840000,40.840000,40.500000,40.689999,40.689999,235800
2015-02-17,41.150002,41.150002,38.634998,39.049999,39.049999,694800
2015-02-18,39.939999,42.919998,39.181999,42.919998,42.919998,855700
2015-02-19,42.889999,43.900002,41.919998,43.759998,43.759998,609800
2015-02-20,43.900002,46.410000,43.150002,44.869999,44.869999,868100
2015-02-23,44.904999,45.000000,41.250000,41.599998,41.599998,853800
2015-02-24,42.250000,43.900002,41.869999,43.470001,43.470001,930500
2015-02-25,43.500000,43.880001,42.619999,42.790001,42.790001,404300
2015-02-26,43.090000,43.688000,42.529999,43.500000,43.500000,254700
2015-02-27,42.779999,44.000000,41.650002,43.150002,43.150002,484900
2015-03-02,43.500000,45.680000,42.799999,45.480000,45.480000,750200
2015-03-03,45.400002,45.500000,43.119999,44.680000,44.680000,657400
2015-03-04,44.349998,46.450001,44.259998,46.189999,46.189999,572300
2015-03-05,46.740002,47.770000,44.070000,44.130001,44.130001,731300
2015-03-06,44.130001,44.439999,42.700001,43.869999,43.869999,502500
2015-03-09,43.939999,43.990002,42.330002,43.540001,43.540001,607400
2015-03-10,43.250000,46.000000,43.021999,45.779999,45.779999,655700
2015-03-11,45.770000,47.450001,44.860001,46.900002,46.900002,1427100
2015-03-12,43.240002,49.599998,42.080002,47.790001,47.790001,2864500
2015-03-13,47.490002,49.480000,47.009998,48.500000,48.500000,748800
2015-03-16,48.599998,49.000000,46.180000,46.459999,46.459999,563700
2015-03-17,45.860001,46.700001,45.259998,45.849998,45.849998,433800
2015-03-18,46.259998,47.490002,44.950001,46.939999,46.939999,429300
2015-03-19,46.669998,47.980000,46.520000,47.570000,47.570000,243700
2015-03-20,47.980000,48.090000,45.250000,46.919998,46.919998,763900
2015-03-23,47.200001,49.250000,46.549999,49.250000,49.250000,486800
2015-03-24,48.959999,51.200001,48.009998,49.549999,49.549999,936400
2015-03-25,50.000000,50.799999,47.500000,47.860001,47.860001,582700
2015-03-26,47.860001,47.860001,47.009998,47.400002,47.400002,421100
2015-03-27,47.400002,49.000000,47.025002,49.000000,49.000000,323300
2015-03-30,48.500000,49.650002,47.500000,49.619999,49.619999,453100
2015-03-31,49.299999,50.500000,48.779999,50.049999,50.049999,950500
2015-04-01,49.799999,50.389999,47.500000,48.400002,48.400002,713300
2015-04-02,48.400002,48.980000,47.799999,48.240002,48.240002,217400
2015-04-06,48.509998,49.450001,48.389999,49.259998,49.259998,240200
2015-04-07,49.360001,50.500000,49.270000,50.480000,50.480000,392900
2015-04-08,50.200001,51.070000,49.500000,50.049999,50.049999,339300
2015-04-09,50.700001,50.980000,49.959999,50.459999,50.459999,322200
2015-04-10,50.150002,50.400002,49.029999,49.790001,49.790001,223200
2015-04-13,49.669998,53.900002,49.560001,53.689999,53.689999,685400
2015-04-14,53.000000,60.000000,52.150002,59.930000,59.930000,1392800
2015-04-15,59.520000,59.560001,56.810001,57.470001,57.470001,1077100
2015-04-16,58.419998,62.750000,58.209999,61.590000,61.590000,1802400
2015-04-17,60.509998,62.250000,59.240002,61.669998,61.669998,577900
2015-04-20,62.150002,63.720001,60.700001,63.650002,63.650002,589200
2015-04-21,62.619999,62.650002,59.009998,60.000000,60.000000,1039000
2015-04-22,59.900002,62.180000,59.200001,62.000000,62.000000,504000
2015-04-23,63.000000,63.250000,60.759998,62.730000,62.730000,420600
2015-04-24,63.070000,68.750000,63.020000,68.529999,68.529999,890500
2015-04-27,68.160004,71.669998,66.246002,69.360001,69.360001,1153300
2015-04-28,69.699997,69.750000,67.500000,68.589996,68.589996,437900
2015-04-29,69.029999,71.099998,67.699997,69.040001,69.040001,404100
